account,name,link,keywords,language
@britdavidson@scicomm.xyz,Brit Davidson,https://scicomm.xyz/@britdavidson,digital traces; online behavior; machine learning; ethics; open science,en
@briemreid@fediscience.org,Brie Reid,https://fediscience.org/@briemreid,stress; developmental psychology; nutrition; cortisol; psychobiology; ELS,en
@Dr_A@mastodonapp.uk,Alan Underwood,https://mastodonapp.uk/@Dr_A,clinical psychology; forensic psychology; mental health; stalking; CJS; risk assessment,en
@BrilliantlyDiverse@mastodon.social,Saskia Wenniger,https://mastodon.social/@BrilliantlyDiverse,neurodiversity; ADHD; coaching; autism; strength-based,en
@danbirman@fediscience.org,Dan Birman,https://fediscience.org/@danbirman,neuroscience; attention; virtual reality; visualization,en
@UlrikeHahn@fediscience.org,Ulrike Hahn,https://fediscience.org/@UlrikeHahn,cognition; rationality; argumentation; social networks; computational modelling,en
@camillaelphick@mastodon.online,Camilla Elphick,https://mastodon.online/@camillaelphick,eye witness identification; cognitive psychology; bystander intervention; digital policing; misinformation,en
@bpitchford@mstdn.science,Brent Pitchford,https://mstdn.social/@bpitchford,visual attention; cognition; motivation; EEG; individual differences,en
@daryloconnor@fediscience.org,Daryl O'Connor,https://fediscience.org/@daryloconnor,stress and health; health psychology; psychobiology; cancer screening; open science,en
@K_A_Baker@mstdn.science,Kristen A Baker,https://mstdn.science/@K_A_Baker,face recognition; vision science; individual differences; cognition,en
@Vflaudias@sciences.re,Valentin Flaudias,https://sciences.re/@Vflaudias,eating disorders; addictive behaviors; neuropsychology; clinical psychology; decision-making,en
@alfredospagna@mas.to,Alfredo Spagna,https://mas.to/@alfredospagna,cognitive neuroscience,en
@volcicr@mastodon.online,Robert Volcic,https://mastodon.online/@volcicr,multisensory perception; action; statistics; random noise,en
@OndrejZika@mastodon.online,Ondrej Zika,https://mastodon.online/@OndrejZika,cognitive neuroscience; computational psychiatry; uncertainty; aversive learning; generalisation; anxiety,en
@Marc_M_Andersen@fediscience.org,Marc Malmdorf Andersen,https://fediscience.org/@Marc_M_Andersen,cognitive science; predictive processing; play; cognitive development; recreational fear,en
@jonsimons@mstdn.social,Jon Simons,https://mstdn.social/@jonsimons,cognitive neuroscience; memory; research culture,en
@koszalkowska@mas.to,Karolina Koszałkowska,https://mas.to/@koszalkowska,social psychology; disparagement humor; moral psychology; prejudice; aggression; dark triad,en
@Sacha_Altay@mastodon.social,Sacha Altay,https://mastodon.social/@Sacha_Altay,psychology of misinformation; social media; (mis)trust,en
@Saeedeh@qoto.org,Saeedeh Sadeghi,https://qoto.org/@Saeedeh,affective neuroscience; time perception; interoception; consciousness; computational modeling,en
@jlaferton@fediscience.org,Johannes Laferton,https://fediscience.org/@jlaferton,expectations; placebo effect; stress beliefs; stress mindset; behavioral medicine; mental health,en
@leovarnet@qoto.org,Léo Varnet,https://qoto.org/@leovarnet,psycholinguistics; experimental phonetics; psychoacoustics; psychophysics; speech perception,en
@the_paperback_psychologist@mastodon.scot,Stuart Cooney,https://mastodon.scot/@the_paperback_psychologist,clinical psychology; addictions; trauma; compassion focused therapy; cognitive analytic therapy; neuropsychology,en
@edahlen@fediscience.org,Eric Dahlen,https://fediscience.org/@edahlen,counseling psychology; personality; aggression; mental health,en
@kkopiske@scholar.social,Karl Kopiske,https://scholar.social/@kkopiske,perception and action; vision; eye movements,en
@ManikyaAlister@aus.social,Manikya Alister,https://aus.social/@ManikyaAlister,cognition; modelling; learning; Bayesian,en
@David_Baranger@fediscience.org,David Baranger,https://fediscience.org/@David_Baranger,substance use; fMRI; genetics; development; reward,en
@EScetera@mastodon.online,Esther Voon,https://mastodon.online/@EScetera,language socialization; socioemotional learning; wellbeing; qualitative methods; women in academia,en
@CorneliaWeise@scicomm.xyz,Cornelia Weise,https://scicomm.xyz/@CorneliaWeise,tinnitus; behavioural medicine; women's mental health; iCBT; endometriosis,en
@shauniomund@aus.social,Shauni Omond,https://aus.social/@shauniomond,sleep; behaviour; evolution; flatworms; regeneration,en
@JPinaSanchez@sciences.social,Jose Pina-Sánchez,https://sciences.social,sentencing; criminal justice; decision making; measurement; bias,en
@antoinecoutrot@mas.to,Antoine Coutrot,https://mas.to/@antoinecoutrot,cognitive science; human behaviour; modelling; visual attention; spatial navigation,en
@marekmcgann@mas.to,Marek McGann,https://mas.to/@marekmcgann,enaction; embodiment; open science; behavior settings; cognitive science,en
@alexandra_pike@mastodon.online,Alex Pike,https://mastodon.online/@alexandra_pike,mental health; eating disorders; anxiety; computational modelling; computational psychiatry,en
@paulbloom@mas.to,Paul Alexander Bloom,https://mas.to/@paulbloom,development; depression; adolescent; fMRI; EMA,en
@toddhorowitz@fediscience.org,Todd Horowitz,https://fediscience.org/@toddhorowitz,attention; visual search' medical image perception; cancer,en
@ryanlei@fediscience.org,Ryan Lei,https://fediscience.org/@ryanlei,social psychology; developmental psychology; intersectionality; cognitive development,en
@ComparativeCognition@fediscience.org,Valerie Kuhlmeier,https://fediscience.org/@ComparativeCognition,animal cognition; developmental psychology; animal behaviour,en
@BernhardSpitzer@mastodon.online,Bernhard Spitzer,https://mastodon.online/@BernhardSpitzer,working memory; decision making; learning; neuroscience; computational modeling,en
@connairrussell@mastodon.online,Connair Russell,https://mastodon.online/@connairrussell,religion; causality; cognitive bias; cross-cultural psychology,en
@Creativity@fediscience.org,Alwin de Rooij,https://fediscience.org/@Creativity,creativity; mental imagery; mind wandering; social robots; HCI,en
@RegineGalanti,Regine Galanti,https://mas.to/@RegineGalanti,clinical psychology; cognitive-behavioral therapy; anxiety; OCD,en
@zogmaister@mas.to,Cristina Zogmaister,https://mas.to/@zogmaister,cognition; social cognition; open science; sustainability,en
@Nattonge@fediscence.org,Natasha A Tonge,https://fediscience.org/@Nattonge,clinical psychology,en
@adwojcik@sciences.social,Adrian Wójcik,https://sciences.social/@adwojcik,social psychology; conservation psychology; collective memory; cross-cultural research,en
@Bettyslai@mastodon.online,Betty S. Lai,https://mastodon.online/@Bettyslai,disaster; FAIR data,en
@Schuetze@fediscience.org,Brendan Schuetze,https://fediscience.org/@Schuetze,science of learning; metacognition; rstats,en
@FlorinaErbeli@mas.to,Florina Erbeli,https://mas.to/@FlorinaErbeli,educational psychology; reading development; dyslexia,en
@MemphisPhilosopher@c.im,David Miguel Gray,https://c.im/@MemphisPhilosopher,philosophy of psychology; philosophy of psychiatry; schizophrenia; cognition; cognitive science,en
@flxhlzmstr@scicomm.xyz,Felix Holzmeister,https://scicomm.xyz/@flxhlzmstr,meta-science; research methods; open science; economics; finance,en
@kav@fediscience.org,Kav Bandara,https://fediscience.org/@kav,consciousness; cognition; cognitive neuroscience; computational neuroscience,en
@renordquist@akademienl.social,Rebecca Nordquist,https://akademienl.social/@renordquist,animal cognition; farm animal welfare; chicken; pig; sheep; open science; public engagement,en
@niclas_juper@mastodon.online,Niclas Kuper,https://mastodon.online/@niclas_kuper,personality; individual differences; quantitative methods,en
@ajquinn@fediscience.org,Andrew Quinn,https://fediscience.org/@ajquinn,cognitive neuroscience; oscillations; open software,en
@yana@mas.to,Yana Ryakhovskaya,https://mas.to/@yana,personality; well-being; positive psychology; mindfulness,en
@marklaubach@mastodon.social,Mark Laubach,https://mastodon.social/@marklaubach,neuroscience; prefrontal; learning; decision making; open source,en
@cmolho@mastodon.online,Catherine Molho,https://mastodon.online/@cmolho,cooperation; emotions; morality; decision making; culture,en
@dhernaus@fediscience.org,Dennis Hernaus,https://fediscience.org/@dhernaus,cognitive neuroscience; stress; motivation and goal-directed behaviour; neuropsychopharmacology; computational cognitive modelling,en
@marciapetyt@mstdn.social,Marcia Petyt,https://mstdn.social/@marciapetyt,neuroscience; neuroimaging,en
@hansijzerman@sciences.social,Hans Rocha IJzerman,https://sciences.social/@hansijzerman,social thermoregulation; meta-science,en
@gaiamolinaro@qoto.org,Gaia Molinaro,https://qoto.org/@gaiamolinaro,cognitive science; computational cognitive neuroscience; reinforcement learning; goal-directed behaviour,en
@clinicalneuro@mstdn.social,Ingram Wright,https://mstdn.social/@clinicalneuro,paediatric neuropsychology; functional neuro imaging; epilepsy,en
@paulabarea@mas.to,Paula Barea-Arroyo,htts://mas.to/@paulabarea,executive functions; autism; temporal discounting,en
@drdkimhy@mastodon.socil,David Kimhy,https://mastodon.social/@drdkimhy,clinical psychology; schizophrenia; psychosis; emotion regulation; stress; neurocognition,en
@dp_moriarity@fediscience.org,Daniel P Moriarity,https://fediscience.org/@dp_moriarity,inflammation; depression; physiometrics; cognitive vulnerabilities; phenotyping,en
@gih@c.im,Gordon Herz,https://c.im/@gih,behavioral healthcare financing and access to care; neuropsychology; health and rehabilitation psychology,en
@saraemilyburke@fosstodon.org,Sara Burke,https://fosstodon.org/@saraemilyburke,social psychology; intergroup bias; sexual orientation; statistics and methods,en
@mcd@mastodon.social,Michael A. McDannald,https://mastodon.social/@mcd,associative learning; neuroscience; threat; electrophysiology; Pavlovian conditioning,en
@bodhidave@mstdn.social,David Collins,https://mstdn.social/@bodhidave,mindfulness; cross-cultural contemplative practices; Buddhism,en
@andrewsmith@mastodon.online,Andrew Smith,https://mastodon.online/@andrewsmith,social psychology; judgment and decision making; open science; replications,en
@JasonCantone@mastodon.social,Jason Cantone,https://mastodon.social/@JasonCantone,social legal psychology; discrimination; bias; courts; law,en
@daleyrb@fediscience.org,Ryan Daley,https://fediscience.org/@daleyrb,cognitive neuroscience; memory; aging; morality; emotion,en
@sophiebarton@mastodon.social,Sophie Barton,https://mastodon.social/@sophiebarton,evolutionary neuroscience; animal behavior; neuroimaging; comparative cognition,en
@milenamr@mas.to,Milena Rmus,https://mas.to/@milenamr,cognitive neuroscience; reinforcement learning; computational modeling,en
@annajfinley@fediscience.org,Anna J Finley,https://fediscience.org/@annajfinley,affective neuroscience; loneliness; emotion regulation; self regulation; well-being,en
@neuranna@mstdn.science,Anna Ivanova,https://mstdn.science/@neuranna,language and thought; cognitive neuroscience; large language models; world knowledge; meaning,en
@MorganKikkawa@fediscience.org,Morgan Kikkawa,https://fediscience.org/@MorganKikkawa,predictive coding; visual cognition; cognitive neuroscience; machine learning,en
@milfont@mastodon.nz,Taciano L Milfont,https://mastodon.nz/@milfont,applied psychology; social psychology; environmental psychology; individual differences; behavioural insights,en
@wouterpoortinga@mastodon.social,Wouter Poortinga,https://mastodon.social/@wouterpoortinga,environmental psychology; behavioural science; risk perception; risk communication,en
@DrJLCLee@mastodon.green,Jonathan Lee,https://mastodon.green/@DrJLCLee,behavioral neuroscience; memory; reconsolidation; extinction,en
@sumedhrao@mastodonapp.uk,Sumedh Rao,https://mastodonapp.uk/@sumedhrao,intergroup relations; conflict; governance; social psychology; political psychology,en
@jul_dugre@mastodon.online,Jules R Dugré,https://mastodon.online/@jul_dugre,antisocial behaviors; psychopathy; aggression; fMRI; developmental trajectories,en
@Lizzy_Simpson@mastodon.online,Liz Simpson,https://mastodon.online/@Lizzy_Simpson,developmental science; social behavior; infancy; social cognition; face perception,en
@lukaswallrich@sciences.social,Lukas Wallrich,https://sciences.social/@lukaswallrich,social psychology; organizational psychology; diversity; agent-based modeling; open science,en
@rossmcintosh@mindly.social,Ross McIntosh,https://mindly.social/@rossmcintosh,acceptance and commitment therapy; ACT; workplace wellbeing; work psychology,en
@peircej@fediscience.org,Jon Peirce,https://fediscience.org/@peircej,research methods/tools; visual neuroscience; open science; open source,en
@Jessa@mas.to,Jessica Schiller,https://mas.to/@Jessa,community mental health; counselling psychology,en
@jenperillo@mastodon.social,Jen Perillo,https://mastodon.social/@jenperillo,legal psychology; bias; decision making; social influence; open science,en
@ChrisJKelly@mas.to,Christopher Kelly,https://mas.to/@ChrisJKelly,human factors; cognition; decision making; user interface design,en
@wobir@mastodon.nu,Wossenseged Jemberie,https://mastodon.nu/@wobir,addiction; mental health; quantitative methods; alcohol use disorder; ageing,en
@K_J_Burnell@mas.to,Karen Burnell,https://mas.to/@K_J_Burnell,positive psychology; applied psychology; narrative psychology; heritage and mental health; qualitative psychology,en
@davidmccormack@mastodon.ie,David McCormack ,https://mastodon.ie/@davidmccormack,clinical psychology,en
@xinkaidu@mastodon.social,Xinkai Du,https://mastodon.social/@xinkaidu,clinical psychology; psychometrics; networks; intensive longitudinal methods; SEM; statistical learning,en
@Aurelio_Bruno@fediscience.org,Aurelio Bruno,https://fediscience.org/@Aurelio_Bruno,visual perception; time perception; metacognition; psychophysics,en
@marcpabst@fediscience.org,Marc Pabst,https://fediscience.org/@marcpabst,cognitive neuroscience; visual perception; uncertainty,en
@Hirstrj@fediscience.org,Rebecca Hirst,https://fediscience.org/@Hirstrj,multisensory; ageing; development; lifespan; crossmodal attention; open science; psychopy,en
@echo@vis.social,Echo Rivera,https://vis.social/@echo,community psychology; public speaking; data visualization; professional development,en
@boutsenl@mastodon.online,Luc Boutsen,https://mastodon.online/@boutsenl,cognitive neuroscience; visual attention; face and object perception; neuropsychology; EEG; eyetracking,en
@AlessioBellato@fediscience.org,Alessio Bellato,https://fediscience.org/@AlessioBellato,autonomic arousal; meta-analysis; developmental cognitive neuroscience; child psychiatry; heart rate variability,en
@boutsenl@mastodon.online,Luc Boutsen,https://mastodon.online/@boutsenl,cognitive neuroscience; visual cognition; neuropsychology; visual attention; faces; objects,en
@theamygdaloid@mastodon.online,Joseph LeDoux,https://@theamygdaloid@mastodon.online,emotion; memory; consciousness; brain; evolution,en
@stevemaren@mastodon.social,Steve Maren,https://mastodon.social/@stevemaren,behavioral neuroscience; emotional memory; associative learning; animal models; fear and anxiety,en
@eitan@mstdn.social,Eitan Schechtman,https://mstdn.social/@eitan,cognitive neuroscience; sleep; memory; EEG,en
@AedanLi@fediscience.org,Aedan Li,https://fediscience.org/@AedanLi,cognitive neuroscience; memory; perception; similarity; concepts,en
@jeremyRmanning@mas.to,Jeremy Manning,https://mas.to/@jeremyRmanning,memory; computational; networks; natural language processing; data science,en
@drbex@mastodon.nz,Rebekah Graham,https://mastodon.nz/@drbex,community psychology; food insecurity; qualitative; disability; health inequities,en
@vic@fediscience.org,Victoria Guazzelli Williamson,https://fediscience.org/@vic,developmental cognitive neuroscience; clinical psychology; social cognition; internalizing; adolescence,en
@TabithaLamberth@mindly.social,Tabitha Lamberth,https://mindly.social/@TabithaLamberth,social psychology; political psychology; polarization; affective partisanship,en
@eddiehj@mas.to,Eddie Harmon-Jones,https://mas.to/@eddiehj,emotions; motivation; social psychology; affective neuroscience,en
@jeromeprado@fediscience.org,Jérôme Prado,https://fediscience.org/@jeromeprado,cognitive neuroscience; developmental psychology; numerical cognition; reasoning,en
@b_j_griffiths@fediscience.org,Benjamin J Griffiths,https://fediscience.org/@b_j_griffiths,cognitive neuroscience; episodic memory; EEG; MEG,en
@J_A_Quent@fediscience.org,Jörn Alexander Quent,https://fediscience.org/@J_A_Quent,cognitive neuroscience; memory; VR; navigation; neuroimaging,en
@tobiasstaudigl@mastodon.online,Tobias Staudigl,https://mastodon.online/@tobiasstaudigl,memory; navigation; sleep; oscillations; thalamus; eye movements; EEG; DBS; MEG,en
@antoniahamilton@nerdculture.de,Antonia Hamilton,https://nerdculture.de/@antoniahamilton,social neuroscience; autism; fnirs; interaction; real world,en
@vborghesani@scholar.social,Valentina Borghesani,https://scholar.social/@vborghesani,cognitive neuroscience; clinical neuroscience; language; semantics; neuroimaging; neuropsychology,en
@NeuroLeyla@mstdn.social,Leyla Loued-Khenissi,https://mstdn.social/@NeuroLeyla,cognitive neuroscience; neuroimaging; computational modeling; decision-making; uncertainty,en
@Belinda_B@aus.social,Belinda Brucki,https://aus.social/@Belinda_B,inequalities; moral psychology; clinical psychology; behavioural psychology; mental health,en
@SebastianSHorn@mastodon.online,Sebastian Horn,https://mastodon.online/@SebastianSHorn,lifespan development; memory; decision making; motivation; open science; cognitive modeling,en
@paperbag1@mastodon.social,Gary Brown,https://mastodon.social/@paperbag1,psychotherapy; psychometrics; single case designs; CBT; practice based evidence,en
@meganchapman@mastodon.social,Megan Chapman,https://mastodon.social/@meganchapman,clinical psychology; infant mental health; hospital consultation liaison; parental reflective functioning; mentalizing,en
@Rolandimhoff@mastodon.online,Roland Imhoff,https://mastodon.online/@Rolandimhoff,social psychology; social cognition; conspiracy theories; categorization; open science,en
@kateslade@qoto.org,Kate Slade,https://qoto.org/@kateslade,ageing; hearing; speech perception; psychophysiology; cognitive neuroscience; listening effort; cognitive hearing science; open science,en
@gabrock94@fosstodon.org,Giulio Gabrieli,https://fosstodon.org/@gabrock94,human-computer interaction; open science; physiology; cognitive neuroscience; social psychology,en
@peterakirk@mastodon.online,Peter Kirk,https://mastodon.online/@peterakirk,anxiety; depression; neuroscience; fMRI; psychophysiology,en
@helenagellersen@fediscience.org,Helena Gellersen,https://fediscience.org/@helenagellersen,cognitive neuroscience; ageing; memory; Alzheimer's disease; neuroimaging,en
@paulgribble@fediscience.org,Paul Gribble,https://fediscience.org/@paulgribble,sensorimotor neuroscience; computational models; motor learning; motor control; human,en
@CandiceMMills@fediscience.org,Candice Mills,https://fediscience.org/@CandiceMMills,cognitive development; developmental psychology; thinking and learning; skepticism; Santa,en
@GordonFeld@fediscience.org,Gordon,https://fediscience.org/@GordonFeld,human neuroscience; sleep and memory; open science; reproducibility; clinical psychology,en
@cerw@fediscience.org,Caroline Robertson,https://fediscience.org/@cerw,cognitive neuroscience; memory; perception; neurodiversity; autism; virtual reality; fMRI; MRS,en
@h_shawberry@qoto.org,Heather Shaw,https://qoto.org/@h_shawberry,behaviour analytics; individual differences; digital traces; personality; smartphones,en
@liu_thorsten@tech.lgbt,Tuo (Thorsten) Liu,https://tech.lgbt/@liu_thorsten,psychometrics; virtual reality; individual differences; self-representation,en
@MCSeto@mastodon.social,Michael Seto,https://mastodon.social/@MCSeto,forensic psychology; sexuality science; clinical psychology,en
@KaiEpstude@akademienl.social,Kai Epstude ,https://akademienl.social/@KaiEpstude,social judgments; emotion; motivation,en
@zsuzsakaldy@fediscience.org,Zsuzsa Kaldy,https://fediscience.org/@zsuzsakaldy,cognitive development; visual working memory; attention; eye-tracking; pupillometry,en
@blam3@noc.social,Brendan Lam,https://noc.social/@blam3,externalizing psychopathology; antisocial behaviors; quantitative methods; psychometrics,en
@ChaffeePsych@mastodon.social,Kathryn E. Chaffee,https://mastodon.social/@ChaffeePsych,social psychology; education; motivation; gender,en
@leesplez@fediscience.org,Jeff Lees,https://fediscience.org/@leesplez,social psych; organizational behavior; political/moral psych; social perception; judgment and biases,en
@nadira@zirk.us,Nadira Faber,https://zirk.us/@nadira,experimental psychology; ethics; prosociality; groups; cooperation,en
@matkau@mastodon.online,Mathias Kauff,https://mastodon.online/@matkau,social psychology; prejudice; intergroup contact,en
@gershbrain@fediscience.org,Sam Gershman,https://fediscience.org/@gershbrain,computational neuroscience; memory; learning; decision making; reinforcement learning,en
@DeStefani@bayes.club,Serena DeStefani,https://bayes.club/@DeStefani,Bayesian decision-making; agency; spatial cognition; social wayfinding; computational psychiatry,en
@profgaelle@hci.social,Gaelle Vallee-Tourangeau,https://hci.social/@profgaelle,judgement and decision-making; heuristics and biases; choice architecture; applied behavioural science,en
@JesseRissman@mas.to,Jesse Rissman,https://mas.to/@JesseRissman,cognitive neuroscience; memory; attention; neuroimaging; psychology,en
@kbeckerblease@fediscience.org,Kathy Becker-Blease,https://fediscience.org/@kbeckerblease,developmental traumatology; science of teaching and learning; implementation science,en
@gavin_mullin@mstdn.social,Gavin Mullin,https://mstdn.social/@gavin_mullin,social psychology; social neuroscience; intergroup relationships; social behavior; identity,en
@MatthiasNau@fediscience.org,Matthias Nau,fediscience.org/@MatthiasNau,cognitive neuroscience; vision; memory; eye movements; deep learning,en
@AmyJimenez@mstdn.social,Amy Jimenez,https://mstdn.social/@AmyJimenez,clinical neuroscience; psychosis; social cognition; attention,en
@ZHANGMengya@fediscience.org ,Mengya Zhang,https://fediscience.org/@ZHANGMengya,cognitive neuroscience;  working memory; cognitive control; computational modelling,en
@psychologician@fediscience.org,Elliot Berkman,http://fediscience.org/@psychologician,social neuroscience; health psychology; motivation; behavior change,en
@benambridge@mastodon.social,Ben Ambridge,https://mastodon.social/@benambridge,child language; language acquisition; language development; open science; popular science writing; science communication,en
@itsrainingjen@mastodon.scot,Jen Goff,https://mastodon.scot/@itsrainingjen,HIV; sexual health; participatory action research; person-centred approach; anti-oppressive practice,en
@tombusey@fediscience.org,Tom Busey,https://fediscience.org/@tombusey,cognitive modeling; Bayesian stats; forensics; rstats; perception,en
@herebehumans@fediscience.org,Valerie van Mulukom,https://fediscience.org/@herebehumans,cognitive science; imagination; belief; social bonding; evolution,en
@paulabarea@mas.to,Paula Barea Arroyo,https://mas.to/@paulabarea,executive functions; autism,en
@jsmnStein@mastodon.online,Jasmin Stein,https://mastodon.online/@jsmnStein,cognitive control; fMRI; stress; open science; psychology,en
@ymorvan@mastodon.online ,Yannick Morvan,https://mastodon.online/@ymorvan,clinical psychology; student mental health; cbt; network; open science,en
@olirobinson@mastodon.online,Oliver Robinson,https://mastodon.online/@olirobinson,computational psychiatry; cognitive neuroscience; mental health; anxiety,en
@sdukehan@med-mastodon.com,Duke Han,https://med-mastodon.com/@sdukehan,cognitive aging; decision making; Alzheimer's Disease; neuropsychology; neuroimaging,en 
@podarok@mstdn.social,Andrii Podanenko,https://mstdn.social/@podarok,gestalt; dialogue phenomenal psychotherapy,en
@kiararoth@fediscience.org,Kiara Roth,https://fediscience.org/@kiararoth,social cognition; stereotypes; context effects; social psychology; political identity,en
@szzhou4@sciences.social,Steven Zhou,https://sciences.social/@szzhou4,organizational psychology; personality; psychometrics; academic-practitioner gap; education,en
@levels_of@mastodon.social,Melissa Kibbe,https://mastodon.social/@levels_of,cognitive development; cognitive science; mental representations; visual cognition; philosophy,en
@linksforshrinks@mentalhealth-masto.com,Julie Cohen,https://mentalhealth-masto.com/@linksforshrinks,anxiety; depression; lgbtq; grief; panic,en
@caseyroark@qoto.org,Casey Roark,https://qoto.org/@caseyroark,category learning; cognition; perception; cognitive neuroscience; computational modeling,en
@clarisse@mathstodon.xyz,Clarisse Kilboy,https://mathstodon.xyz/@clarisse,counseling psychology; clinical psychology; childhood trauma; NSSI; morality and virtue,en
@SabinaSrokova@fediscience.org,Sabina Srokova,https://fediscience.org/@SabinaSrokova,cognitive neuroscience of memory and aging,en
@akulsatish@fediscience.org,Akul Satish,https://fediscience.org/@akulsatish,memory; cognitive neuroscience; MEG; forgetting: cognitive control,en
@MatthewLogie@fediscience.org,Matthew Logie,https://fediscience.org/@MatthewLogie,context drift; event segmentation; memory; time; virtual environments,en
@ZoeFlack@mastodon.lol,Zoe Flack,https://mastodon.lol/@ZoeFlack,open research; developmental psych; education; cognitive development;,en
@janlo@mastodon.social,Jan Lorenz,https://mastodon.social/@janlo,crowd wisdon; filter bubbles; attitude change; polarization; social dynamics of the self,en
@drerinhaugen@mstdn.social,Erin Haugen,https://mstdn.social/@drerinhaugen,athlete mental health; psychology of sport injury; psychological readiness for return to sport,en
@rebeccalinnett@fediscience.org,Rebecca Linnett ,https://fediscience.org/@rebeccalinnett,health psychology; kidney research; self-compassion; wellbeing,en
@SaRoseCav@mastodon.social,Sarah Rose Cavanagh,https://mastodon.social/@SaRoseCav,emotions; motivation; teaching; learning; mental health,en
@melissaekline@mastodon.social,Melissa Kline Struhl,https://mastodon.social/@melissaekline,cognitive development; language acquisition; open science; data management; psychds,en
@benjaminle@mastodon.social,Benjamin Le,https://mastodon.social/@benjaminle,open science; relationships; social psychology,en
@profduff@mstdn.party,Sean Duffy ,https://mstdn.party/@ProfDuff/109327197266583244,judgment decision making; cultural psychology; environmental psychology; spatial reasoning,en
@maramather@mstdn.social,Mara Mather,https://mstdn.social/@maramather,emotion and cognition; heart rate variability; affective neuroscience of aging; improving parasympathetic function in aging; open science,en
@lizhn7@sciences.social,Zhaoning Li,https://sciences.social/@lizhn7,social cognition; social neuroscience; mentalising; artificial social intelligence,en
@pgmj@scicomm.xyz,Magnus Johansson,https://scicomm.xyz/@pgmj,psychometrics; rasch; rstats; prevention; open science,en
@MLSteinberg@fediscience.org,Marc L. Steinberg,https://fediscience.org/@MLSteinberg,tobacco use; clinical psychology; motivational interviewing; cessation; cannabis,en
@MarkRubin@fediscience.org,Mark Rubin,https://fediscience.org/@MarkRubin,social psychology; metascience,en
@fasbrock@home.social,Frank Asbrock,https://home.social/@fasbrock,intergroup relations; ideological attitudes; prejudice; threat; political psychology,en
@VonDrasek@mstdn.social,Nathan Von Drasek,https://mstdn.social/@VonDrasek,Cognitive psychology; perception and action; VR/AR; ecological perception ,en
@BEAMLab@mastodon.social,Joanna Christodoulou,https://mastodon.social/@BEAMLab,reading; dyslexia; cogneuro; education; neuroimaging,en
@VUSocialPsych@fediscience.org,VU Social Psychology,https://fediscience.org/@VUSocialPsych,social psychology; close relationships; cooperation; emotions; morality,en
@clwarner89@med-mastadon.com,Christina Warner,https://med-mastodon.com/@clwarner89,child & adolescent psychiatry; psychiatry; medical education; sexual health,en
@kh_macmillan@neurodifferent.me,Kirsty Macmillan,https://neurodifferent.me/@kh_macmillan,neurodiversity; digital inclusion: online safety; lived experiences; participatory action research ,en
@CANexeter@mastodon.social,Anna Adlam & Jenny Limond,https://mstdn.social/@CANexeter,clinical neuropsychology; clinical psychology; child acquired brain injury; mental health; interventions,en
@jverissimo@fediscience.org,João Veríssimo,https://fediscience.org/@jverissimo,psycholinguistics; bilingualism; aging; statistics; individual differences,en
@drlucythompson@sciences.social,Lucy Thompson,https://sciences.social/@DrLucyThompson,feminist psychology; critical psychology; power; organizations and institutions; institutional trauma; qualitative methods,en
@dbkrupp@ecoevo.social,DB Krupp,https://ecoevo.social/@dbkrupp,social evolution; kinship; competition; inequality,en
@SocialDevelopment@fediscience.org,Social Development (journal),https://fediscience.org/@SocialDevelopment,social development; peer relations; social cognition; emotions; theory of mind; methods; developmental psychology,en
@SBMost@mstdn.social,Steve Most,https://mstdn.social/@SBMost,attention; perception; emotion; cognition; individual differences,en
@leslie@mastodon.social,Leslie Poston,https://mastodon.social/@leslie,psychology; media psychology; change management; technology; open science,en
@istudytrust@sciences.social,Joe Hamm,HTTPS://sciences.social/@istudytrust,trust; trustworthiness signaling; governance relationships,en
@Hannah_R_Snyder@fediscience.org,Hannah R. Snyder,https://fediscience.org/@Hannah_R_Snyder,executive function; psychopathology; stress; internalizing; open science,en
@juli_nagel@fosstodon.org,Juli Nagel,https://fosstodon.org/@juli_nagel,memory; reward; sleep,en
@danielnettle@fediscience.org,Daniel Nettle,https://fediscience.org/@danielnettle,evolutionary psychology; social cognition; socioeconomic inequality; open science,en
@StefaanVanDamme@fediscience.org,Stefaan Van Damme,https://fediscience.org/@StefaanVanDamme,health psychology; pain; fatigue; motivation; attention,en
@jonmay@toot.wales,Jon May,https://toot.wales/@jonmay,mental imagery; motivation; behaviour change; open science; psychometrics,en
@xenia_ks@dizl.de,Xenia Schmalz,https://dizl.de/@xenia_ks,psycholinguistics; reading; dyslexia; reproducibility; open science,en
@drcpennington@mastodon.social,Charlotte Pennington,https://mastodon.social/@drcpennington,addiction science; open science; social cognition; health; wellbeing,en
@VinseaSingh@mastodon.world,Vinsea Singh,https://mastodon.world/@VinseaSingh,cognitive neuroscience; speech perception; EEG-fMRI; computational neuroscience,en
@eecastro@mastodon.social,Eric E Castro,https://mastodon.social/@eecastro,cognitive psychology; secondary education,en
@Arminius@mindly.social,Jeffrey Hermann,https://mindly.social/@Arminius,women's health,en
@nattonge@fediscience.org ,Natasha A Tonge,Http://fediscience.org/@nattonge,clinical psychology; trust; self-disclosure; open science; BIPOC ,en
@JacksonSmith@fediscience.org,Jackson Smith,https://fediscience.org/@JacksonSmith,clinical psychology; community psychology; developmental trauma; family systems; resilience,en
@coreyfernandez@mastodon.social,Corey Fernandez,https://mastodon.social/@coreyfernandez,cognitive neuroscience; learning and memory; teaching,en
